team,player,matches,goals,assists
Arsenal,Aaron Ramsdale,6,0,0
Arsenal,Ben White,37,4,4
Arsenal,Bukayo Saka,35,16,8
Arsenal,Cédric Soares,3,0,0
Arsenal,David Raya,32,0,0
Arsenal,Declan Rice,38,7,8
Arsenal,Eddie Nketiah,27,5,2
Arsenal,Emile Smith-Rowe,13,0,1
Arsenal,Ethan Nwaneri,1,0,0
Arsenal,Fábio Vieira,11,1,2
Arsenal,Gabriel,36,3,0
Arsenal,Gabriel Jesus,27,4,5
Arsenal,Gabriel Martinelli,35,6,4
Arsenal,Jakub Kiwior,20,1,3
Arsenal,Jorginho,24,0,2
Arsenal,Jurriën Timber,2,0,0
Arsenal,Kai Havertz,37,13,7
Arsenal,Leandro Trossard,34,12,1
Arsenal,Martin Odegaard,35,8,10
Arsenal,Mohamed Elneny,3,0,0
Arsenal,Oleksandr Zinchenko,27,1,2
Arsenal,Reiss Nelson,15,0,0
Arsenal,Takehiro Tomiyasu,22,2,1
Arsenal,Thomas Partey,14,0,0
Arsenal,William Saliba,38,2,1
Aston Villa,Bertrand Traoré,2,0,0
Aston Villa,Boubacar Kamara,20,0,1
Aston Villa,Calum Chambers,5,0,1
Aston Villa,Cameron Archer,30,4,1
Aston Villa,Clement Lenglet,14,0,1
Aston Villa,Diego Carlos,27,0,0
Aston Villa,Douglas Luiz,35,9,5
Aston Villa,Emiliano Martinez,34,0,0
Aston Villa,Ezri Konsa Ngoyo,35,1,0
Aston Villa,Finley Munroe,1,0,0
Aston Villa,Jacob Ramsey,16,1,1
Aston Villa,Jaden Philogene-Bidace,1,0,0
Aston Villa,Jhon Durán,23,5,0
Aston Villa,John McGinn,35,6,4
Aston Villa,Kaine Hayden,3,0,0
Aston Villa,Leander Dendoncker,8,1,0
Aston Villa,Leon Bailey,35,10,9
Aston Villa,Lucas Digne,33,1,3
Aston Villa,Matthew Cash,29,2,2
Aston Villa,Morgan Rogers,11,3,1
Aston Villa,Moussa Diaby,38,6,8
Aston Villa,Nicolo Zaniolo,25,2,0
Aston Villa,Ollie Watkins,37,19,13
Aston Villa,Omari Kellyman,2,0,0
Aston Villa,Pau Torres,29,2,0
Aston Villa,Philippe Coutinho,2,0,0
Aston Villa,Robin Olsen,5,0,0
Aston Villa,Tim Iroegbunam,9,0,0
Aston Villa,Tyrone Mings,1,0,0
Aston Villa,Youri Tielemans,32,2,6
Aston Villa,Álex Moreno,21,2,0
Bournemouth,Adam Smith,28,0,2
Bournemouth,Alex Scott,23,1,1
Bournemouth,Antoine Semenyo,33,8,2
Bournemouth,Chris Mepham,10,0,1
Bournemouth,Dango Ouattara,30,1,2
Bournemouth,David Brooks,13,1,1
Bournemouth,Dominic Sadi,1,0,0
Bournemouth,Dominic Solanke,38,19,3
Bournemouth,Enes Ünal,16,2,2
Bournemouth,Hamed Junior Traore,3,0,0
Bournemouth,Illia Zabarnyi,37,1,0
Bournemouth,Ionut Radu,2,0,0
Bournemouth,Jaidon Anthony,3,0,0
Bournemouth,James Hill,5,0,0
Bournemouth,Joe Rothwell,11,0,0
Bournemouth,Justin Kluivert,32,7,1
Bournemouth,Kieffer Moore,8,1,0
Bournemouth,Lewis Cook,33,0,3
Bournemouth,Lloyd Kelly,23,0,1
Bournemouth,Luis Sinisterra,20,2,2
Bournemouth,Marcos Senesi,31,4,5
Bournemouth,Marcus Tavernier,30,3,4
Bournemouth,Mark Travers,4,0,0
Bournemouth,Max Aarons,20,0,1
Bournemouth,Milos Kerkez,28,0,1
Bournemouth,Neto,32,0,0
Bournemouth,Philip Billing,29,2,2
Bournemouth,Romain Faivre,5,0,0
Bournemouth,Ryan Christie,37,0,5
Bournemouth,Tyler Adams,3,0,0
Brentford,Aaron Hickey,9,0,0
Brentford,Ben Mee,16,2,0
Brentford,Bryan Mbeumo,25,9,6
Brentford,Christian Nørgaard,31,2,1
Brentford,Ethan Pinnock,29,2,0
Brentford,Frank Onyeka,26,1,2
Brentford,Ivan Toney,17,4,2
Brentford,Josh Dasilva,3,0,0
Brentford,Keane Lewis-Potter,30,3,1
Brentford,Kevin Schade,11,2,1
Brentford,Kristoffer Ajer,28,2,1
Brentford,Mads Roerslev,34,1,2
Brentford,Mark Flekken,37,0,1
Brentford,Mathias Jensen,32,3,3
Brentford,Michael Olakigbe,8,0,0
Brentford,Mikkel Damsgaard,23,0,2
Brentford,Myles Peart-Harris,3,0,0
Brentford,Nathan Collins,32,1,1
Brentford,Neal Maupay,31,6,3
Brentford,Rico Henry,5,0,1
Brentford,Saman Ghoddos,19,1,0
Brentford,Sergio Reguilón,25,0,4
Brentford,Shandon Baptiste,10,1,1
Brentford,Thomas Strakosha,2,0,0
Brentford,Vitaly Janelt,38,1,3
Brentford,Yehor Yarmolyuk,27,0,0
Brentford,Yoane Wissa,34,12,3
Brentford,Zanka,14,1,0
Brighton,Adam Lallana,25,0,1
Brighton,Adam Webster,15,0,0
Brighton,Anssumane Fati,19,2,0
Brighton,Bart Verbruggen,21,0,0
Brighton,Benicio Baker-Boaitey,5,0,0
Brighton,Billy Gilmour,30,0,1
Brighton,Carlos Baleba,27,0,0
Brighton,Danny Welbeck,29,5,1
Brighton,Estupiñán,19,2,3
Brighton,Evan Ferguson,27,6,0
Brighton,Facundo Buonanotte,27,3,1
Brighton,Igor Julio,24,0,0
Brighton,Jack Hinshelwood,12,3,0
Brighton,Jakub Moder,17,0,0
Brighton,James Milner,15,0,2
Brighton,Jan Paul van Hecke,28,0,0
Brighton,Jason Steele,17,0,0
Brighton,João Pedro,31,9,3
Brighton,Joël Veltman,27,1,1
Brighton,Julio Enciso,12,0,2
Brighton,Kaoru Mitoma,19,3,4
Brighton,Lewis Dunk,33,3,1
Brighton,Mahmoud Dahoud,9,0,1
Brighton,Mark O’Mahony,3,0,0
Brighton,Odeluga Offiah,4,0,0
Brighton,Pascal Groß,36,4,10
Brighton,Simon Adingra,31,6,1
Brighton,Solly March,7,3,1
Brighton,Tariq Lamptey,19,0,3
Brighton,Valentín Barco,6,0,0
Burnley,Aaron Ramsey,14,0,0
Burnley,Ameen Al Dakhil,13,1,0
Burnley,Anass Zaroury,6,0,0
Burnley,Arijanet Muric,10,0,0
Burnley,Benson Manuel,8,0,0
Burnley,Charlie Taylor,28,1,1
Burnley,Connor Roberts,14,0,1
Burnley,Dara O'Shea,33,3,4
Burnley,David Datro Fofana,15,4,1
Burnley,Han-Noah Massengo,3,0,0
Burnley,Hannes Delcroix,12,0,0
Burnley,Hjalmar Ekdal,8,0,0
Burnley,Jack Cork,4,0,0
Burnley,Jacob Bruun Larsen,32,6,0
Burnley,James Trafford,28,0,0
Burnley,Jay Rodriguez,21,2,1
Burnley,Johann Berg Gudmundsson,26,1,3
Burnley,Josh Brownhill,33,4,2
Burnley,Josh Cullen,25,2,3
Burnley,Lorenz Assignon,15,1,2
Burnley,Louis Beyer,15,0,1
Burnley,Luca Koleosho,15,1,1
Burnley,Lyle Foster,24,5,3
Burnley,Maxime Estève,16,0,0
Burnley,Michael Obafemi,2,0,0
Burnley,Mike Trésor,16,0,0
Burnley,Nathan Redmond,12,0,0
Burnley,Sander Berge,37,1,2
Burnley,Vitinho,32,0,2
Burnley,Wilson Odobert,29,3,2
Burnley,Zeki Amdouni,34,5,1
Chelsea,Alex Matos,1,0,0
Chelsea,Alfie Gilchrist,11,1,0
Chelsea,Armando Broja,21,1,1
Chelsea,Axel Disasi,31,2,0
Chelsea,Ben Chilwell,13,0,1
Chelsea,Benoit Badiashile Mukinayi,18,0,1
Chelsea,Carney Chukwuemeka,9,1,1
Chelsea,Cesare Casadei,11,0,0
Chelsea,Chimuanya Ugochukwu,12,0,0
Chelsea,Christopher Nkunku,11,3,0
Chelsea,Cole Palmer,34,22,11
Chelsea,Conor Gallagher,37,5,7
Chelsea,Deivid Washington,2,0,0
Chelsea,Djordje Petrovic,23,0,0
Chelsea,Enzo Fernández,28,3,2
Chelsea,Ian Maatsen,12,0,0
Chelsea,Jimi Tauriainen,1,0,0
Chelsea,Josh Acheampong,1,0,0
Chelsea,Levi Colwill,23,1,1
Chelsea,Malo Gusto,27,0,6
Chelsea,Marc Cucurella,21,0,2
