team,player,matches,goals,assists
Arsenal,Ben White,11,0,1
Arsenal,Bukayo Saka,16,5,10
Arsenal,David Raya,29,0,0
Arsenal,Declan Rice,27,2,5
Arsenal,Ethan Nwaneri,19,3,1
Arsenal,Gabriel,27,3,1
Arsenal,Gabriel Jesus,17,3,0
Arsenal,Gabriel Martinelli,24,6,3
Arsenal,Jakub Kiwior,8,0,0
Arsenal,Jorginho,12,0,0
Arsenal,Jurriën Timber,26,1,2
Arsenal,Kai Havertz,21,9,3
Arsenal,Kieran Tierney,6,0,0
Arsenal,Leandro Trossard,29,4,5
Arsenal,Martin Odegaard,21,2,4
Arsenal,Mikel Merino,21,5,1
Arsenal,Myles Lewis-Skelly,14,1,0
Arsenal,Oleksandr Zinchenko,10,0,0
Arsenal,Raheem Sterling,12,0,1
Arsenal,Reiss Nelson,12,1,1
Arsenal,Riccardo Calafiori,17,2,1
Arsenal,Takehiro Tomiyasu,1,0,0
Arsenal,Thomas Partey,28,3,2
Arsenal,William Saliba,27,2,0
Aston Villa,Amadou Onana,17,2,0
Aston Villa,Andrés García,5,0,0
Aston Villa,Axel Disasi,10,1,0
Aston Villa,Boubacar Kamara,17,0,0
Aston Villa,Diego Carlos,10,0,0
Aston Villa,Donyell Malen,6,0,0
Aston Villa,Emiliano Buendía,12,0,0
Aston Villa,Emiliano Martinez,28,0,0
Aston Villa,Ezri Konsa Ngoyo,25,1,0
Aston Villa,Ian Maatsen,22,0,1
Aston Villa,Jacob Ramsey,21,1,3
Aston Villa,Jaden Philogene-Bidace,18,2,0
Aston Villa,Jhon Durán,20,7,0
Aston Villa,John McGinn,25,0,3
Aston Villa,Kosta Nedeljkovic,5,0,0
Aston Villa,Lamare Bogarde,8,0,0
Aston Villa,Leon Bailey,23,1,2
Aston Villa,Lucas Digne,28,0,4
Aston Villa,Marco Asensio,4,2,0
Aston Villa,Marcus Rashford,20,4,3
Aston Villa,Matthew Cash,19,1,1
Aston Villa,Morgan Rogers,28,7,4
Aston Villa,Ollie Watkins,29,13,6
Aston Villa,Pau Torres,18,0,0
Aston Villa,Robin Olsen,3,0,0
Aston Villa,Ross Barkley,16,3,1
Aston Villa,Tyrone Mings,10,0,0
Aston Villa,Youri Tielemans,29,2,4
Bournemouth,Adam Smith,17,0,0
Bournemouth,Alex Scott,12,0,0
Bournemouth,Antoine Semenyo,28,7,4
Bournemouth,Ben Winterburn,2,0,0
Bournemouth,Dango Ouattara,26,7,4
Bournemouth,Daniel Jebbison,9,0,0
Bournemouth,David Brooks,22,2,0
Bournemouth,Dean Huijsen,23,2,0
Bournemouth,Enes Ünal,17,2,1
Bournemouth,Evanilson,22,6,0
Bournemouth,Illia Zabarnyi,27,0,0
Bournemouth,James Hill,9,0,1
Bournemouth,Julián Araujo,8,0,0
Bournemouth,Justin Kluivert,28,12,6
Bournemouth,Kepa,22,0,0
Bournemouth,Lewis Cook,28,1,3
Bournemouth,Luis Sinisterra,12,1,1
Bournemouth,Marcos Senesi,11,0,0
Bournemouth,Marcus Tavernier,22,3,5
Bournemouth,Mark Travers,5,0,0
Bournemouth,Max Aarons,3,0,0
Bournemouth,Milos Kerkez,29,2,5
Bournemouth,Neto,2,0,0
Bournemouth,Philip Billing,10,0,0
Bournemouth,Remy Rees-Dottin,1,0,0
Bournemouth,Ryan Christie,28,2,3
Bournemouth,Tyler Adams,19,0,3
Bournemouth,Zain Silcott-Duberry,1,0,0
Brentford,Ben Mee,7,0,0
Brentford,Bryan Mbeumo,29,15,5
Brentford,Christian Nørgaard,25,4,2
Brentford,Ethan Pinnock,21,2,0
Brentford,Fabio Carvalho,19,2,1
Brentford,Frank Onyeka,2,0,0
Brentford,Hákon Valdimarsson,2,0,0
Brentford,Jayden Meghoma,1,0,0
Brentford,Keane Lewis-Potter,29,1,2
Brentford,Kevin Schade,29,7,2
Brentford,Kim Ji-Soo,3,0,0
Brentford,Kristoffer Ajer,16,0,0
Brentford,Mads Roerslev,19,0,2
Brentford,Mark Flekken,28,0,1
Brentford,Mathias Jensen,16,0,1
Brentford,Michael Kayode,4,0,0
Brentford,Mikkel Damsgaard,29,2,9
Brentford,Nathan Collins,29,2,1
Brentford,Paris Maghoma,7,0,0
Brentford,Rico Henry,1,0,0
Brentford,Ryan Trevitt,1,0,0
Brentford,Sepp van den Berg,22,0,0
Brentford,Thiago,4,0,0
Brentford,Vitaly Janelt,28,1,3
Brentford,Yehor Yarmolyuk,22,0,0
Brentford,Yoane Wissa,26,13,2
Brentford,Yunus Konak,7,0,0
Brighton,Adam Webster,11,0,0
Brighton,Bart Verbruggen,27,0,1
Brighton,Billy Gilmour,2,0,0
Brighton,Brajan Gruda,13,0,1
Brighton,Carlos Baleba,25,2,1
Brighton,Danny Welbeck,22,7,4
Brighton,Diego Gómez,7,0,0
Brighton,Estupiñán,22,1,1
Brighton,Evan Ferguson,18,1,0
Brighton,Ferdi Kadioglu,6,1,0
Brighton,Georginio Rutter,28,5,3
Brighton,Igor Julio,12,0,0
Brighton,Jack Hinshelwood,17,2,0
Brighton,Jakub Moder,4,0,0
Brighton,James Milner,3,0,0
Brighton,Jan Paul van Hecke,27,1,1
Brighton,Jason Steele,2,0,0
Brighton,Jeremy Sarmiento,1,0,0
Brighton,João Pedro,23,8,6
Brighton,Joël Veltman,19,0,0
Brighton,Julio Enciso,17,0,1
Brighton,Kaoru Mitoma,29,7,3
Brighton,Lewis Dunk,19,0,0
Brighton,Mats Wieffer,17,1,1
Brighton,Matt O'Riley,12,1,1
Brighton,Simon Adingra,20,2,1
Brighton,Solly March,4,0,0
Brighton,Tariq Lamptey,13,2,2
Brighton,Yankuba Minteh,24,5,3
Brighton,Yasin Ayari,25,0,1
Chelsea,Benoit Badiashile Mukinayi,5,0,0
Chelsea,Christopher Nkunku,25,3,2
Chelsea,Cole Palmer,28,14,6
Chelsea,Enzo Fernández,27,4,5
Chelsea,Filip Jorgensen,6,0,0
Chelsea,Jadon Sancho,23,2,4
Chelsea,Josh Acheampong,4,0,0
Chelsea,João Félix,12,1,1
Chelsea,Kiernan Dewsbury-Hall,9,0,1
Chelsea,Levi Colwill,27,1,1
Chelsea,Malo Gusto,24,0,1
Chelsea,Marc Cucurella,27,4,1
Chelsea,Marc Guiu,3,0,0
Chelsea,Mathis Amougou,1,0,0
Chelsea,Moisés Caicedo,29,1,2
Chelsea,Mykhailo Mudryk,7,0,0
Chelsea,Nicolas Jackson,23,9,5
Chelsea,Noni Madueke,23,7,3
Chelsea,Pedro Neto,26,3,4
Chelsea,Reece James,11,1,0
Chelsea,Renato Veiga,7,0,0
Chelsea,Robert Sánchez,23,0,0
Chelsea,Romeo Lavia,11,0,1
Chelsea,Shumaira Mheuka,1,0,0
Chelsea,Tosin Adarabioyo,16,1,1
Chelsea,Trevoh Chalobah,18,3,1
Chelsea,Tyrique George,5,0,1
Chelsea,Wesley Fofana,14,0,0
Crystal Palace,Adam Wharton,13,0,0
Crystal Palace,Asher Agbinone,2,0,0
Crystal Palace,Ben Chilwell,3,0,0
Crystal Palace,Caleb Kporha,2,0,0
Crystal Palace,Chadi Riad,1,0,0
Crystal Palace,Cheick Oumar Doucoure,13,0,0
Crystal Palace,Chris Richards,17,0,0
Crystal Palace,Daichi Kamada,24,0,0
Crystal Palace,Daniel Muñoz,27,3,4
Crystal Palace,Dean Henderson,28,0,0
Crystal Palace,Eberechi Eze,24,2,6
Crystal Palace,Eddie Nketiah,20,1,1
Crystal Palace,Ismaila Sarr,28,7,3
Crystal Palace,Jean-Philippe Mateta,27,12,2
Crystal Palace,Jefferson Lerma,23,0,0
Crystal Palace,Jeffrey Schlupp,12,0,0
Crystal Palace,Joachim Andersen,21,0,0
Crystal Palace,Jordan Ayew,25,4,0
Crystal Palace,Justin Devenny,14,1,0
Crystal Palace,Marc Guehi,27,3,2
Crystal Palace,Maxence Lacroix,25,1,1
Crystal Palace,Nathaniel Clyne,11,0,0
Crystal Palace,Odsonne Edouard,6,0,0
Crystal Palace,Romain Esse,2,1,0
Crystal Palace,Tyrick Mitchell,28,0,4
Crystal Palace,Will Hughes,24,0,3
Everton,Abdoulaye Doucouré,25,2,1
Everton,Armando Broja,6,0,0
Everton,Ashley Young,25,1,3
Everton,Beto,21,6,0
Everton,Carlos Alcaraz,7,1,1
Everton,Dominic Calvert-Lewin,22,3,1
Everton,Dwight McNeil,13,3,3
Everton,Harrison Armstrong,3,0,0
Everton,Idrissa Gueye,28,0,3
Everton,Iliman Ndiaye,24,6,0
